Query Sequence Name	Gene ID	Gene Name	Genome ID	Genome Name	Query Start Coord	Query End Coord	Subject Start Coord	Subject End Coord	Bit Score	E-value	Identities	Subject Length	
query3651546	2520119821	periplasmic mercuric ion binding protein	2519899560	Escherichia coli O111:H8 CVM9634	1	91	1	91	177	6e-61	100	91	
query3651546	2520138863	periplasmic mercuric ion binding protein	2519899563	Escherichia coli O111 CVM9455	1	91	1	91	177	6e-61	100	91	
query3651546	2559831382	periplasmic mercuric ion binding protein	2558860434	Salmonella enterica enterica sv. Typhimurium 34502	1	91	1	91	177	6e-61	100	91	
query3651546	2577542075	periplasmic mercuric ion binding protein	2576861188	Enterobacter asburiae UCI 49	1	91	1	91	177	5e-61	100	91	
query3651546	2649900053	periplasmic mercuric ion binding protein	2648501434	Enterobacter hormaechei oharae CCBH10892	1	91	1	91	177	6e-61	100	91	
query3651546	2656572964	periplasmic mercuric ion binding protein	2654588004	Salmonella enterica enterica sv. Typhimurium 33676	1	91	1	91	177	5e-61	100	91	
query3651546	2663101152	periplasmic mercuric ion binding protein	2660238614	Salmonella enterica enterica sv. Typhimurium DT104 613sCH44	1	91	1	91	177	6e-61	100	91	
query3651546	2704054379	periplasmic mercuric ion binding protein	2703718695	Enterobacter asburiae ST252:950126202	1	91	1	91	177	1e-60	100	91	
query3651546	2780850055	periplasmic mercuric ion binding protein	2778261641	Escherichia coli MOD1-EC6519	1	91	1	91	177	6e-61	100	91	
query3651546	2843913463	periplasmic mercuric ion binding protein	2843909154	Cronobacter sakazakii GZcsf-1	1	91	1	91	177	5e-61	100	91	
query3651546	2843974457	periplasmic mercuric ion binding protein	2843969098	Citrobacter freundii SL151	1	91	1	91	177	6e-61	100	91	
query3651546	2851281858	periplasmic mercuric ion binding protein	2851277247	Aeromonas hydrophila ZYAH75	1	91	1	91	177	5e-61	100	91	
query3651546	2851436965	periplasmic mercuric ion binding protein	2851431590	Klebsiella pneumoniae INF278	1	91	1	91	177	6e-61	100	91	
query3651546	2851442713	periplasmic mercuric ion binding protein	2851437328	Klebsiella pneumoniae INF163	1	91	1	91	177	6e-61	100	91	
query3651546	2860595258	periplasmic mercuric ion binding protein	2860589870	Klebsiella pneumoniae INF274	1	91	1	91	177	6e-61	100	91	
query3651546	2870236369	periplasmic mercuric ion binding protein	2870230914	Klebsiella pneumoniae 2-1	1	91	1	91	177	6e-61	100	91	
query3651546	2842331889	periplasmic mercuric ion binding protein	2842324504	Paraburkholderia fungorum SEMIA 4007	1	91	1	91	157	8e-53	88	91	
query3651546	2842353735	periplasmic mercuric ion binding protein	2842348783	Paraburkholderia fungorum SEMIA 4013	1	91	1	91	157	8e-53	88	91	
query3651546	2518320901	periplasmic mercuric ion binding protein	2518285516	Pseudomonas synxantha DSM 13080	1	91	1	91	145	3e-48	76	91	
query3651546	2520391103	periplasmic mercuric ion binding protein	2519899622	Pseudomonas sp. Ag1	1	91	1	91	145	3e-48	76	91	
query3651546	2541855594	periplasmic mercuric ion binding protein	2541047103	Pseudomonas sp. CFT9	1	91	1	91	145	3e-48	76	91	
query3651546	2543171130	periplasmic mercuric ion binding protein	2541047479	Pseudomonas syringae BRIP34876	1	91	1	91	145	3e-48	76	91	
query3651546	2543180173	periplasmic mercuric ion binding protein	2541047481	Pseudomonas syringae BRIP34881	1	91	1	91	145	3e-48	76	91	
query3651546	2549662281	periplasmic mercuric ion binding protein	2548876749	Pseudomonas syringae pv. actinidiae PA459	1	91	1	91	145	3e-48	76	91	
query3651546	2586026658	periplasmic mercuric ion binding protein	2585427641	Pseudomonas sp. WCS374	1	91	1	91	145	3e-48	76	91	
query3651546	2586023998	periplasmic mercuric ion binding protein	2585427641	Pseudomonas sp. WCS374	1	91	1	91	145	3e-48	76	91	
query3651546	2631457469	periplasmic mercuric ion binding protein	2630968351	Pseudomonas fluorescens AU2989	1	91	1	91	145	3e-48	76	91	
query3651546	2640299636	periplasmic mercuric ion binding protein	2639762637	Pseudomonas poae LMG 21465	1	91	1	91	145	3e-48	76	91	
query3651546	2641508664	periplasmic mercuric ion binding protein	2639762981	Pseudomonas fluorescens AU14440	1	91	1	91	145	3e-48	76	91	
query3651546	2642370885	periplasmic mercuric ion binding protein	2639763190	Pseudomonas rhodesiae LMG 17764	1	91	1	91	145	3e-48	76	91	
query3651546	2662688732	periplasmic mercuric ion binding protein	2660238513	Pseudomonas synxantha DSM 18928	1	91	1	91	145	3e-48	76	91	
query3651546	2666130013	periplasmic mercuric ion binding protein	2663763218	Pseudomonas coronafaciens LMG 5060	1	91	1	91	145	2e-48	76	91	
query3651546	2667945423	periplasmic mercuric ion binding protein	2667527385	Pseudomonas synxantha LMG 2190	1	91	1	91	145	3e-48	76	91	
query3651546	2670059807	periplasmic mercuric ion binding protein	2667527928	Pseudomonas poae DSM 14936	1	91	1	91	145	3e-48	76	91	
query3651546	2696701901	periplasmic mercuric ion binding protein	2695420601	Pseudomonas sp. NBRC 111137	1	91	1	91	145	3e-48	76	91	
query3651546	2712823952	periplasmic mercuric ion binding protein	2711768305	Pseudomonadales bacterium RIFCSPLOWO2_12_60_38	1	91	1	91	145	3e-48	76	91	
query3651546	2713031834	periplasmic mercuric ion binding protein	2711768411	Pseudomonadales bacterium RIFCSPLOWO2_12_FULL_59_450	1	91	1	91	145	3e-48	76	91	
