Query Sequence Name	Gene ID	Gene Name	Genome ID	Genome Name	Query Start Coord	Query End Coord	Subject Start Coord	Subject End Coord	Bit Score	E-value	Identities	Subject Length	
query3664279	2549717719	mercuric ion transport protein	2548876758	Pseudomonas aeruginosa NCMG1179	1	116	1	116	226	3e-79	100	116	
query3664279	2562783402	mercuric ion transport protein	2562617043	Pseudomonas sp. EGD-AK9	1	116	1	116	226	2e-79	100	116	
query3664279	2633881835	mercuric ion transport protein	2630968946	Ralstonia mannitolilytica SN82F48	1	116	1	116	226	2e-79	100	116	
query3664279	2661417555	mercuric ion transport protein	2660238203	Pseudomonas sp. NBRC 111127	1	116	1	116	226	2e-79	100	116	
query3664279	2667503086	mercuric ion transport protein	2663763601	Pseudomonas psychrotolerans LMG 21977	1	116	1	116	226	2e-79	100	116	
query3664279	2704060949	mercuric ion transport protein	2703718695	Enterobacter asburiae ST252:950126202	1	116	1	116	226	4e-79	100	116	
query3664279	2720721733	mercuric ion transport protein	2718218255	Klebsiella sp. LTGPAF-6F	1	116	1	116	226	3e-79	100	116	
query3664279	2736092209	mercuric ion transport protein	2734482401	Pseudomonas aeruginosa RW88	1	116	1	116	226	3e-79	100	116	
query3664279	2847530840	mercuric ion transport protein	2847528547	Stenotrophomonas maltophilia SJTH1	1	116	1	116	226	2e-79	100	116	
query3664279	2870322651	mercuric ion transport protein	2870319472	Pseudomonas aeruginosa PASGNDM345	1	116	1	116	226	3e-79	100	116	
query3664279	2870334703	mercuric ion transport protein	2870331525	Pseudomonas aeruginosa PASGNDM699	1	116	1	116	226	3e-79	100	116	
query3664279	641622135	mercuric ion transport protein	641522646	Pseudomonas putida W619	1	116	1	116	226	2e-79	100	116	
query3664279	2590840771	mercuric ion transport protein	2590828102	beta proteobacterium FWI2	1	116	1	116	225	6e-79	99	116	
query3664279	2743196723	mercuric ion transport protein	2740892368	Cupriavidus metallidurans NE12	1	116	1	116	225	6e-79	99	116	
query3664279	2788916236	mercuric ion transport protein	2788499891	Sutterellaceae bacterium ARS112	1	116	1	116	216	2e-75	95	116	
query3664279	2633880468	mercuric ion transport protein	2630968946	Ralstonia mannitolilytica SN82F48	1	116	1	116	214	2e-74	94	116	
query3664279	2633880519	mercuric ion transport protein	2630968946	Ralstonia mannitolilytica SN82F48	1	116	1	116	214	2e-74	94	116	
query3664279	2742272262	mercuric ion transport protein	2740892159	Oleibacter sp. HI0075	1	116	1	116	214	2e-74	94	116	
query3664279	640052189	mercuric ion transport protein	640048476	Ensifer meliloti FP2 plasmid pSB102	1	116	1	116	214	8e-77	92	116	
query3664279	2588780213	mercuric ion transport protein	2588253803	Salmonella enterica enterica sv. Heidelberg SARA 39	1	116	1	116	213	3e-74	93	116	
query3664279	2847530822	mercuric ion transport protein	2847528547	Stenotrophomonas maltophilia SJTH1	1	116	1	116	213	3e-74	93	116	
query3664279	2843974586	mercuric ion transport protein	2843969098	Citrobacter freundii SL151	2	116	17	131	212	9e-74	93	131	
query3664279	2510653853	mercuric ion transport protein	2510461034	Pseudomonas aeruginosa R. Hugh 813, ATCC 97	1	116	1	116	211	2e-73	93	116	
query3664279	2550317816	mercuric ion transport protein	2548876915	Klebsiella pneumoniae pneumoniae LCT-KP214	2	116	7	121	211	2e-73	93	121	
query3664279	2555199139	mercuric ion transport protein	2554235220	Klebsiella pneumoniae LCT-KP182	2	116	7	121	211	2e-73	93	121	
query3664279	2555215170	mercuric ion transport protein	2554235223	Klebsiella pneumoniae LCT-KP289	2	116	7	121	211	2e-73	93	121	
query3664279	2573600844	mercuric ion transport protein	2571042753	Enterobacter sp. MGH 15	2	116	7	121	211	2e-73	93	121	
query3664279	2578640336	mercuric ion transport protein	2576861519	Enterobacter sp. MGH 7	1	116	1	116	211	1e-73	93	116	
query3664279	2578644024	mercuric ion transport protein	2576861519	Enterobacter sp. MGH 7	2	116	7	121	211	2e-73	93	121	
query3664279	2581405065	mercuric ion transport protein	2579778887	Pseudomonas aeruginosa BWHPSA037	1	116	1	116	211	2e-73	93	116	
query3664279	2631456330	mercuric ion transport protein	2630968351	Pseudomonas fluorescens AU2989	1	116	1	116	211	2e-73	93	116	
query3664279	2641575326	mercuric ion transport protein	2639762996	Pseudomonas aeruginosa O400	1	116	1	116	211	2e-73	93	116	
query3664279	2648214554	mercuric ion transport protein	2645728076	Enterobacter hormaechei BIDMC 33A	1	116	1	116	211	1e-73	93	116	
query3664279	2657830946	mercuric ion transport protein	2657245036	Enterobacter hormaechei MNCRE41	1	116	1	116	211	1e-73	93	116	
query3664279	2660726079	mercuric ion transport protein	2660238024	Escherichia coli MNCRE22	1	116	1	116	211	1e-73	93	116	
query3664279	2660908282	mercuric ion transport protein	2660238069	Enterobacter hormaechei MNCRE23	1	116	1	116	211	1e-73	93	116	
query3664279	2661419213	mercuric ion transport protein	2660238203	Pseudomonas sp. NBRC 111127	1	116	1	116	211	1e-73	93	116	
query3664279	2661466682	mercuric ion transport protein	2660238213	Enterobacter hormaechei MNCRE19	1	116	1	116	211	1e-73	93	116	
query3664279	2661766449	mercuric ion transport protein	2660238286	Enterobacter hormaechei MNCRE48	1	116	1	116	211	1e-73	93	116	
query3664279	2662780640	mercuric ion transport protein	2660238535	Enterobacter hormaechei MNCRE52	1	116	1	116	211	1e-73	93	116	
query3664279	2662882916	mercuric ion transport protein	2660238562	Enterobacter hormaechei MNCRE83	1	116	1	116	211	1e-73	93	116	
query3664279	2663004715	mercuric ion transport protein	2660238592	Enterobacter hormaechei MNCRE35	1	116	1	116	211	1e-73	93	116	
query3664279	2663045241	mercuric ion transport protein	2660238602	Enterobacter hormaechei MNCRE42	1	116	1	116	211	1e-73	93	116	
query3664279	2663087181	mercuric ion transport protein	2660238611	Enterobacter hormaechei MNCRE86	1	116	1	116	211	1e-73	93	116	
query3664279	2663314574	mercuric ion transport protein	2660238670	Enterobacter hormaechei MNCRE84	1	116	1	116	211	1e-73	93	116	
query3664279	2663910156	mercuric ion transport protein	2663762639	Enterobacter hormaechei MNCRE39	1	116	1	116	211	1e-73	93	116	
query3664279	2665082667	mercuric ion transport protein	2663762955	Enterobacter hormaechei MNCRE56	1	116	1	116	211	1e-73	93	116	
query3664279	2665906256	mercuric ion transport protein	2663763164	Enterobacter hormaechei MNCRE18	1	116	1	116	211	1e-73	93	116	
query3664279	2666486575	mercuric ion transport protein	2663763303	Pseudomonas sp. NBRC 111142	1	116	1	116	211	2e-73	93	116	
query3664279	2666523211	mercuric ion transport protein	2663763311	Enterobacter hormaechei MNCRE7	1	116	1	116	211	1e-73	93	116	
query3664279	2666839348	mercuric ion transport protein	2663763391	Enterobacter hormaechei MNCRE29	1	116	1	116	211	1e-73	93	116	
query3664279	2666884638	mercuric ion transport protein	2663763403	Enterobacter hormaechei MNCRE51	1	116	1	116	211	1e-73	93	116	
query3664279	2667300487	mercuric ion transport protein	2663763503	Enterobacter hormaechei MNCRE25	1	116	1	116	211	1e-73	93	116	
query3664279	2669315730	mercuric ion transport protein	2667527746	Enterobacter hormaechei MNCRE30	1	116	1	116	211	1e-73	93	116	
query3664279	2670681731	mercuric ion transport protein	2667528073	Enterobacter hormaechei MNCRE17	1	116	1	116	211	1e-73	93	116	
query3664279	2672813072	mercuric ion transport protein	2671180447	Enterobacter hormaechei MNCRE57	1	116	1	116	211	1e-73	93	116	
query3664279	2673682516	mercuric ion transport protein	2671180661	Enterobacter hormaechei MNCRE8	1	116	1	116	211	1e-73	93	116	
query3664279	2678374369	mercuric ion transport protein	2675903546	Enterobacter hormaechei MNCRE79	1	116	1	116	211	1e-73	93	116	
query3664279	2691951037	mercuric ion transport protein	2690316027	Enterobacter hormaechei MNCRE36	1	116	1	116	211	1e-73	93	116	
query3664279	2692061071	mercuric ion transport protein	2690316054	Enterobacter hormaechei MNCRE71	1	116	1	116	211	1e-73	93	116	
query3664279	2693536058	mercuric ion transport protein	2693429525	Enterobacter hormaechei MNCRE28	1	116	1	116	211	1e-73	93	116	
query3664279	2699273790	mercuric ion transport protein	2698536479	Enterobacter kobei ST54:941713674	1	116	1	116	211	1e-73	93	116	
query3664279	2702936644	mercuric ion transport protein	2700989497	Enterobacter hormaechei MNCRE6	1	116	1	116	211	1e-73	93	116	
query3664279	2702944188	mercuric ion transport protein	2700989499	Enterobacter hormaechei MNCRE37	1	116	1	116	211	1e-73	93	116	
