"Query.Sequence.Name","Gene.ID","Gene.Name","Genome.ID","Genome.Name","Query.Start.Coord","Query.End.Coord","Subject.Start.Coord","Subject.End.Coord","Bit.Score","E.value","Identities","Subject.Length","X"
"query3606436",2586889618,"periplasmic mercuric ion binding protein",2585427827,"Pseudomonas syringae pv. atrofaciens LMG 5095",1,91,1,91,147,9e-49,77,91,NA
"query3606436",2548015554,"periplasmic mercuric ion binding protein",2547132255,"Escherichia coli O2:H- 9.1649",1,91,1,91,143,2e-47,92,91,NA
"query3606436",2731464933,"periplasmic mercuric ion binding protein",2728369713,"Pseudomonas putida JCM 18798",1,91,1,92,143,3e-47,76,92,NA
"query3606436",2738001636,"periplasmic mercuric ion binding protein",2737471843,"Escherichia coli CVM N33633PS",1,91,1,91,143,2e-47,92,91,NA
"query3606436",2731510658,"periplasmic mercuric ion binding protein",2728369721,"Variovorax sp. JCM 16519",1,91,1,92,123,2e-39,65,92,NA
"query3606436",2516235584,"periplasmic mercuric ion binding protein",2516143028,"Thioalkalivibrio thiocyanodenitrificans ARhD 1",4,91,10,94,87,3e-25,48,94,NA
"query3606436",2554224882,"periplasmic mercuric ion binding protein",2551306727,"Pseudomonas putida SJ3",1,91,1,91,85.1,3e-24,47,91,NA
"query3606436",2792207459,"periplasmic mercuric ion binding protein",2791354983,"Aurantimonas sp. 22II-16-19i",7,87,6,88,66.2,8e-17,51,96,NA
"query3606436",2586319703,"copper ion binding protein",2585427715,"Clostridioides mangenotii TR",26,87,76,137,57.8,6e-13,40,182,NA
"query3606436",2586319703,"copper ion binding protein",2585427715,"Clostridioides mangenotii TR",27,87,7,67,57.4,NA,43,182,NA
"query3606436",2518904777,"P-type Cu+ transporter",2518645580,"Paraburkholderia phenoliruptrix BR3459",21,85,26,90,56.6,1e-11,45,782,NA
"query3606436",2572041589,"copper chaperone",2571042300,"Staphylococcus aureus DAR5864",26,86,6,66,55.5,4e-13,36,68,NA
"query3606436",2602753008,"copper chaperone",2602041742,"Staphylococcus aureus DAR3144",26,86,6,66,55.5,4e-13,36,68,NA
"query3606436",2604195419,"copper chaperone",2603879595,"Staphylococcus aureus DAR5810",26,86,6,66,55.5,4e-13,36,68,NA
"query3606436",2647770565,"P-type Cu+ transporter",2645727973,"Gottschalkia purinilytica DSM 1384",20,85,2,67,55.5,1e-11,36,793,NA
"query3606436",645665048,"copper chaperone",645058749,"Staphylococcus aureus aureus CF-Marseille",26,86,6,66,55.5,3e-13,36,68,NA
"query3606436",647183560,"copper chaperone",647000322,"Staphylococcus aureus aureus MR1",26,86,6,66,55.5,4e-13,36,68,NA
"query3606436",2632394221,"periplasmic mercuric ion binding protein",2630968586,"Methylobacterium radiotolerans 78c",22,91,25,96,55.1,3e-12,43,112,NA
"query3606436",2653864915,"P-type Cu+ transporter",2651870125,"Halorientalis regularis IBRC-M 10760",26,85,8,67,53.9,5e-11,40,866,NA
"query3606436",2656376961,"P-type Cu+ transporter",2654587953,"Gemmatimonas sp. SG8_17",20,85,2,67,53.9,5e-11,44,847,NA
"query3606436",2552933771,"copper chaperone",2551306399,"Staphylococcus aureus PPUKM-332-2009",26,86,6,66,53.5,2e-12,34,68,NA
"query3606436",2552946042,"copper chaperone",2551306402,"Staphylococcus aureus PPUKM-261-2009",26,86,6,66,53.5,2e-12,34,68,NA
"query3606436",2562258234,"copper chaperone",2561511148,"Staphylococcus aureus aureus 55/2053",26,86,6,66,53.5,2e-12,34,68,NA
"query3606436",2573128330,"copper chaperone",2571042617,"Staphylococcus aureus AMMC6051",26,86,6,66,53.5,2e-12,34,68,NA
"query3606436",2588324068,"P-type Cu+ transporter",2588253519,"Thermosporothrix hazakensis ATCC BAA-1881",19,91,10,82,53.5,1e-10,36,856,NA
"query3606436",2561523749,"P-type Cu+ transporter",2561511002,"Peptoclostridium litorale W6",28,91,8,71,52.8,1e-10,38,813,NA
"query3606436",2563818015,"sulfite exporter TauE/SafE",2563366730,"Clostridium hydrogeniformans DSM 21757",20,85,2,67,52.8,1e-10,33,609,NA
"query3606436",2587854630,"P-type Cu+ transporter",2585428090,"Peptoclostridium litorale DSM 5388",28,91,8,71,52.8,9e-11,38,813,NA
"query3606436",2520642147,"P-type Cu+ transporter",2519899694,"Brachyspira innocens ATCC 29796",24,85,3,64,52.4,1e-10,35,758,NA
"query3606436",2566522903,"P-type Cu+ transporter",2565956637,"Clostridium botulinum 84",22,85,72,135,52.4,2e-10,38,811,NA
"query3606436",2584088810,"P-type E1-E2 ATPase/heavy metal translocating P-type ATPase",2582580968,"Clostridium botulinum CDC54091",22,85,26,89,52.4,2e-10,38,513,NA
"query3606436",2677744798,"P-type Cu+ transporter",2675903382,"Clostridium botulinum SU1064",22,85,72,135,52.4,2e-10,38,811,NA
"query3606436",2684129424,"P-type Cu+ transporter",2681813434,"Clostridium botulinum SU0801",22,85,72,135,52.4,2e-10,38,811,NA
"query3606436",2684131476,"P-type Cu+ transporter",2681813435,"Clostridium botulinum SU0994",22,85,72,135,52.4,2e-10,38,811,NA
"query3606436",2684137136,"P-type Cu+ transporter",2681813436,"Clostridium botulinum SU1259",22,85,72,135,52.4,2e-10,38,811,NA
"query3606436",2716050400,"P-type Cu+ transporter",2713897211,"Clostridium botulinum SU1306",22,85,72,135,52.4,2e-10,38,811,NA
"query3606436",2727285160,"P-type Cu+ transporter",2724679563,"Clostridium botulinum SU1937",22,85,72,135,52.4,2e-10,38,811,NA
"query3606436",2727285635,"P-type Cu+ transporter",2724679564,"Clostridium botulinum SU1274",22,85,72,135,52.4,2e-10,38,811,NA
"query3606436",2727291741,"P-type Cu+ transporter",2724679565,"Clostridium botulinum SU1917",22,85,72,135,52.4,2e-10,38,811,NA
"query3606436",2727297532,"P-type Cu+ transporter",2724679566,"Clostridium botulinum SU1887",22,85,72,135,52.4,2e-10,38,811,NA
"query3606436",2727299602,"P-type Cu+ transporter",2724679567,"Clostridium botulinum SU1275",22,85,72,135,52.4,2e-10,38,811,NA
"query3606436",2727305121,"P-type Cu+ transporter",2724679568,"Clostridium botulinum SU1934",22,85,72,135,52.4,2e-10,38,811,NA
"query3606436",2727309384,"P-type Cu+ transporter",2724679569,"Clostridium botulinum SU1304",22,85,72,135,52.4,2e-10,38,811,NA
"query3606436",2727312514,"P-type Cu+ transporter",2724679570,"Clostridium botulinum SU1054",22,85,72,135,52.4,2e-10,38,811,NA
"query3606436",2727315390,"P-type Cu+ transporter",2724679571,"Clostridium botulinum SU1072",22,85,72,135,52.4,2e-10,38,811,NA
"query3606436",2727319120,"P-type Cu+ transporter",2724679572,"Clostridium botulinum SU1074",22,85,72,135,52.4,2e-10,38,811,NA
"query3606436",2727322410,"P-type Cu+ transporter",2724679573,"Clostridium botulinum SU1112",22,85,72,135,52.4,2e-10,38,811,NA
"query3606436",2727326798,"P-type Cu+ transporter",2724679574,"Clostridium botulinum SU0998",22,85,72,135,52.4,2e-10,38,811,NA
"query3606436",2727330085,"P-type Cu+ transporter",2724679575,"Clostridium botulinum SU0807",22,85,72,135,52.4,2e-10,38,811,NA
"query3606436",2727348110,"P-type Cu+ transporter",2724679579,"Clostridium botulinum SU1891",22,85,72,135,52.4,2e-10,38,811,NA
"query3606436",2727353502,"P-type Cu+ transporter",2724679580,"Clostridium botulinum SU1169",22,85,72,135,52.4,2e-10,38,811,NA
"query3606436",2727357880,"P-type Cu+ transporter",2724679581,"Clostridium botulinum SU0945",22,85,72,135,52.4,2e-10,38,811,NA
"query3606436",2741401026,"P-type Cu+ transporter",2740891991,"Candidatus Heimdallarchaeota archaeon LC_2",24,91,84,151,52.4,2e-10,32,856,NA
"query3606436",2790507849,"P-type Cu+ transporter",2788500389,"Flavonifractor sp. An135",21,85,781,844,52.4,2e-10,46,850,NA
